Question,Category
මීටර් 5 ක් දිග රෙද්දකින් ඇඳුමක් මැසීම සඳහා මීටර් 2 ක් සහ සෙන්ටිමීටර් 25 ක ප්‍රමාණයක් කපා ඉවත් කළේ නම් ඉතුරු රෙදි ප්‍රමාණය කොපමණ ද? : .....m ......cm,Mathematics
"තරාදියක එක් තැටියකට අන්නාසි ගෙඩියක් සහ 50g ක බරක් දමා එහි බරට සමාන වීමට 1kg බරක් සහ 500g බරක් අනෙක් තැටියට දමන ලදී. 
අන්නාසි ගෙඩියේ බර කොපමණ ද? ",Mathematics
"එක් බීජ පත්‍රයක් පමණක් ඇති පැළෑටිය කුමක් ද?
(1) පේර 
(2) රඹුටන් 
(3) ගස්ලබු",Environment
"පරිසර දූෂණය හානිකර ලෙස බලපාන කාරණා දෙකක් තෝරන්න.
(1) වගා කර්මාන්තය 
(2) පෙරළුණු කර්මාන්තය 
3) කම්මල් කර්මාන්තය",Environment
" ජාතික කොඩියේ රතු පැහැය කුමකින් සංකේතවත් කරන්නේ ද?
(1) විවිධ ජාතීන්ගේ නියෝජනයයි. 
(2) ජාතීන් අතර එකමුතුවයි. 
(3) ජාතික අභිමානයයි.",Common knowledge and logic reasoning
"කමලගේ දුවගේ ආහාරය සඳහා තිබුණු බත්, අර්තාපල්, බණ්ඩක්කා සහ මෑ කරල්වලින් මෑ කරල් කාණ්ඩ දෙකකට අයත් වේ. එබැවින් අමතර ව මෙම ආහාර වේලට ඇතුළත් විය යුතු අනෙක් ආහාර කාණ්ඩය කුමක් ද?
(1) ශක්තිජනක 
(2) ආරක්ෂක 
(3) වර්ධක",Environment
"උණ අඩු වුණු තැන ලේ ඩිංගිල්ල - බඩ අඩු වුණු තැන බඩ ඩිංගිල්ල' මෙය,
(1) පතල් කවියකි.
(2) පැල් කවියකි.
(3) පාරු කවියකි.",Common knowledge and logic reasoning
"දෛනික ව කාලසටහනකට අනුව වැඩ කිරීම නිසා
(1) නිශ්චිත කාලයක් තුළ දී කාර්යයක් ඉටු කිරීමට පුරුදු වේ.
(2) එදිනෙදා සිදුකළ යුතු කාර්යයන් අතපසු වේ.
(3) සෙල්ලම් කිරීමට කාලය නොමැති වේ.",Common knowledge and logic reasoning
"කාල නියමයක් නොමැතිව මල් පිපෙන ශාකයක් සහ වසරේ එක් කාලයකට පමණක් මල් පිපෙන ශාකයක් පිළිවෙළින් සඳහන් පිළිතුර කුමක් ද?
(1) පොල්, කෙසෙල් 
(2) රඹුටන්, එරබදු 
(3) කෙසෙල්, එරබදු",Environment
"සමනලයකුගේ ජීවන චක්‍රය නිරීක්ෂණය සඳහා සමනල බිත්තර සහිත කහ පැහැති කොළයක් බඳුනක තැන්පත් කර දමා ඇත. එහි කට කඩදාසියකින් වසා හුළඟින් සිදුරු කරන ලදී. එසේ සිදුරු කරන්නේ,
(1) ජලය ඇතුළු වීමටයි. 
(2) වාතය ඇතුළු වීමටයි. 
(3) ආලෝකය ඇතුළු වීමටයි.
",Environment
"හොඳින් ආලෝකය ඇති අවස්ථාවක සිදුරු කැමරාවක් භාවිත කරමින් ඝනක වස්තුවක් දෙස බැලූ විට එය දර්ශනය වන්නේ,
(1) උඩුකුරුව ය. 
(2) යටිකුරුව ය. 
(3) පැත්ත ප්‍රමාණයට ය.",Environment
"බල්ලෙකු සපා කෑ විට පළමුවෙන් ම කළ යුතු වන්නේ කුමක් ද?
(1) සපා කෑ ස්ථානය සබන් යොදා හොඳින් සෝදා ගලා යන පිරිසිදු ජලයෙන් හොඳින් සේදීම.
(2) සපා කෑ ස්ථානයට ඉක්මනින් රෙදි පටියකින් තදින් ගැට ගැසීම.
(3) සපා කෑ ස්ථානයේ ඇති ලේ ගැලීම නතර වන තෙක් තදින් බැඳීම.

",Common knowledge and logic reasoning
"වෙළෙඳසලක අලෙවිය සඳහා ඇති බිම වර්ගයක ලේබලයේ එහි රතු පැහැය වැඩි බවක් යොදා ඇත. එයින් අදහස් වන්නේ,
(1) සීනි සම්පූර්ණයෙන් ම ඉවත් කර ඇති බවයි.
(2) සීනි අඩු ප්‍රමාණයකින් ඇති බවයි.
(3) අධික ලෙස සීනි ඇති බවයි.",Common knowledge and logic reasoning
" ඓතිහාසික වැදගත්කමක් ඇති ස්ථාන නැරඹීමේ දී නොකළ යුතු ක්‍රියාව වන්නේ,
(1) මතකයේ රැඳී ඇති ඡායාරූප ගැනීම සඳහා යම් යම් කොටස් ළඟට ගෙන යාමයි.
(2) එහි පුරාවස්තු අතර ඇති උපදෙස් අනුගමනය කිරීමයි.
(3) එහි වැදගත්කම පිළිබඳ තොරතුරු විමසා දැන ගැනීමයි.",Common knowledge and logic reasoning
"නිල් පැහැති නින්දිත බිත්තර එකතු කළ ජලයෙන් වීදුරුවක බාගයක් පුරවා ඇත. එයට අයිස් කැට කිහිපයක් දැමූ විට
(1) වීදුරුව අවට වාතයේ ජල වාෂ්ප සිසිල් වී වීදුරුවේ පිටත ජල බිංදු ලෙස තැන්පත් වේ.
(2) අයිස් කැට සියල්ල ම දියවී ජලයෙහි පිරිසිදු භාවය වැඩි තැන්පත් වී ක්‍රමයෙන් දිය වේ.
(3) නිල් පැහැති ජල බිංදු වීදුරුවෙන් පිටත විනිවිද වීදුරුවේ පිටත තැන්පත් වේ.",Environment
"ආහාර සකස් කිරීමේ දී ආහාරවල පෝෂ්‍ය ගුණය හානි වන අවස්ථාවක් වන්නේ,
(1) එළවළු පිසීමේ දී ප්‍රමාණවත් තරමට පමණක් තම්බා ගැනීමයි.
(2) සමබර ආහාර වේලක් අඩංගුවෙන් සලාද ලෙස සකස් කිරීමයි.
(3) පළා වර්ග මදින්නේ ම කපා පසු ව හොඳින් සේදීමයි.",Environment
"බූලත් හපයා' ශ්‍රී ලංකාවේ ඒකදේශික මත්ස්‍යයෙක් ලෙස සලකන්නේ,
(1) වෙනත් රටකින් රැගෙනවිත් ශ්‍රී ලංකාවේ ව්‍යාප්ත කිරීම නිසා ය.
(2) ශ්‍රී ලංකාවට පමණක් ජන්ම භූමිය කර ගැනීම නිසා ය.
(3) ශ්‍රී ලංකාවේ සෑම ප්‍රදේශයක ම ඔහුව දක්නට ලැබෙන නිසා ය.



",Environment
"මාලිමාවක දර්ශකය සැමවිට ම යොමු වී ඇති දිශා මොනවා ද?
(1) නැගෙනහිර-බටහිර 
(2) උතුර-දකුණ 
(3) වයඹ-ගිණිකොන",Environment
"දිගු දිව භාවිත කරමින් ගොදුරු අල්ලා ගන්නා සත්ත්වයෙකි,
(1) නාගයා. 
(2) ඉබ්බා. 
(3) ගෙම්බෙල්ලා.",Environment
"""කුටුම්බක ඇති කරන කුරුල්ලකු පිළිබඳ ව මට හිතෙන දේ"" යන්න මාතෘකාව කරගනිමින් වාක්‍ය තුනක් ලියන්න. 
(සෑම වාක්‍යයක ම විවිධ පනතට නොපැමිණිය යුතුයි. උක්ත ආඛ්‍යාත සම්බන්ධය හා අක්ෂර වින්‍යාසය නිවැරදි විය යුතුයි.)",Environment
