Question,Category
" සමතලා බිමක ඇඳ ඇති සමචතුරස්‍රයක ශීර්ෂ වල A. B, C, D හතරදෙනා සිටගෙන සිටින්නේ A ට
උතුරින් B ද, B ට බටහිරින් C ද, C ට දකුණින් D ද වන පරිදි ය. A සිටින්නේ පිළිවෙළින් C ටත් D ටත්
කවර දිශාවලින් ද?
(1) ගිනිකොන, නැගෙනහිර 
(2) ගිනිකොන, බටහිර 
(3) වයඹ, නැගෙනහිර",Directions
"වෘත්තාකාර ධාවන පථයක ඇතුළත සීමාවේ දිග මීටර 200 කි. මීටර 10න් 10 ට සලකුණු කිරීම සඳහා
මුලින්ම කහ පාට කොඩියක් ද, දෙවනුව දම් පාට කොඩියක් ද,තුන්වෙනුව සුදු පාට කොඩියක් ද ආදී වශයෙන් වන පරිදි මෙම පාට තුනෙන් කොඩි සිටුවන ලදී. මේ පිළිවෙළට සලකුණු කිරීම අවසන් වූ විට සමාන කොඩි ගණනක්ඇත්තේ කවර ඒවා ද?
(1) කහ පාට සහ දම් පාට 
(2) දම් පාට සහ සුදු පාට 
(3) සුදු පාට සහ කහ පාට",Division
" ඔරලෝසුවක වේලාව 1.00. 2.00. 3.00, ... ආදී වශයෙන් වන විට පිළිවෙළින් එක්වරක්, දෙවරක් තුන්වරක්, ... ආදී වශයෙන් නාද වෙයි. ඒ අතරතුර 30 වන මිනිත්තුවේදී එක්වරක් බැගින් ද නාද වෙයි. 
සෙනසුරාදා පෙරවරුවේ රවිඳු පාඩම් කරමින් සිටි කාලය තුළ ඔරලෝසුව 24 වරක් නාදවනු ඔහුට ඇසුණි. ඔහු පාඩම් කිරීම අවසන් කළේ පෙ.ව. 11.45 ට නම් පාඩම් කිරිම ආරම්භ කළේ කීයට විය හැකි ද?
(1) පෙ.ව. 9.15
(2) පෙ.ව. 9.45
(3) පෙ.ව. 10.15",Time
" පතුල සමවතුරස්‍රාකාර පෙට්ටියක ඇතුළත අයින දිගේ කිරිපිටි ටින් 16 ක් පියන උඩු අතට සිටින සේ ටින් එකිනෙතට කීයක් එමයාව ආකාරයට අසුරා ඇත. එම පෙට්ටියේ මැද කොටසේ උපරිම වශයෙන් තවත් එවැනි ම තිරි8 ම ඇසිරිය හැකි ද?
(1) 8
(2) 9 
(3) 12",Shapes and Solids
"පහත සංඛ්‍යා රටාව හඳුනාගෙන හිස්තැන් දෙකට ගැළපෙන සංඛ්‍යා දෙක ලියන්න.
...., .....15,19.23,27",Numbers
20650 සංඛ්‍යාව අකුරෙන් ලියන්න.,Numbers
" බස් රථයක් මගීන් 55 දෙනතු සහිතව පළමුවැනි නැවතුමෙන් ගමන් ආරම්භ කරයි. දෙවැනි
නැවතුමේදී මගීන් 8 දෙනකු බසයෙන් බසින ලද අතර 12 දෙනෙක් බස් රථයට ගොඩ වූහ. දෙවැනි
නැවතුමෙන් ගමන් අරඹන විට බස් රථයේ සිටි මගීන් ගණන කීය ද?","Addition, Subtraction"
අඹ ගෙඩි 16කින් හතරෙන් පංගු දෙකක් (2 ) යනු අඹ ගෙඩි කීය ද?,Fractions
එකිනෙකට සමාන මුහුණත් 6ක් සහ දාර 12ක් සහිත ජ්‍යාමිතික ඝන වස්තුව කුමක් ද?,Shapes and Solids
" මීටර 45ක් දිග තාප්පයක් බැඳීම සඳහා දින දෙකක් ගත විය. පළමුවැනි දිනයේ දී මීටර 27 සෙන්ටිමීටර
75ක දිගක් බැඳ අවසන් විය. දෙවන දිනයේ දී බඳින ලද දිග කොපමණ ද?
",Length measuring
"දැන් වේලාව පෙරවරු 11.00 නම් තව පැය 2යි මිනිත්තු 30කට පසුව වේලාව කීය ද?
",Time
" සිසුන් 235 දෙනකුට අධ්‍යාපන චාරිකාවක් යාම සඳහා බස්රථ 5ක් යොදා ගන්නා ලදී. සෑම බස් රථයක ම
සමාන සිසුන් සංඛ්‍යාවක් ගමන් කළේ නම් එක් බස් රථයක ගමන් කළ සිසුන් ගණන කීය ද?",Division
" එක් දිනක දී වෙළඳසැලක තිබූ පරිප්පු 25 kg න් විකුණන ලද පරිප්පු ප්‍රමාණය 12 kg 750 g කි. එදින
ඉතුරු වූ පරිප්පු ප්‍රමාණය කොපමණ ද?",Weight measuring
"

ජලය  ලීටර 2ක් අල්ලන භාජනයක් සම්පූර්ණයෙන් පිරවීමට මිලි ලීටර 500 කෝප්පයකින් ජලය යුතු වාර දැමිය ගණන කීය ද?
 
",Volume measuring
"භාජනයක ජලය 5150 ml ක් ඇත. එහි ඇති ජල ප්‍රමාණය ලීටර් සහ මිලිලීටවලින් ලියන්න.
",Volume measuring
"රුපියල් 15යි සත 50කට පෑනක් සහ එකක් රුපියල් 75 බැගින් අභ්‍යාස පොත් දෙකක් මිලදී ගත්විට
ගෙවිය යුතු මුළු මුදල කීය ද?
",Currency
" ඔරලෝසුවක වේලාව පෙ.ව. 4.30 යි. එතැන් සිට මිනිත්තු කටුව, හය වාරයක් පැය කටුව පසුකර ගොස්
12 දෙසට යොමු වී තිබෙන විට එම ඔරලෝසුවේ වේලාව කීය ද?
(1) පෙ.ව. 10.00 
(2) පෙ.ව. 11.00 
(3) මධ්‍යාග්න 12.00",Time
" අත් ඔරලෝසුවක් එහි මුහුණත උඩු අතට සිටින සේ මේසයක් මත තිරස්ව තබා ඇත. වේලාව ප.ව. 3.00
එහි පැය කටුව උතුරු දිශාවට යොමු වී තිබුණි. ප.ව. 3.45 වන විට එම ඔරලෝසුවේ මිනිත්තු කටුව
යොමු වී ඇති දිශාව කුමක් ද?
(1) දකුණ 
(2) බස්නාහිර 
(3 ) නැගෙනහිර",Direction
"රැස්වීම් ශාලාවක ඇති ආසන 301 සිට 500 තෙක් අංක කර ඇත. ඒවා අතුරෙන් 3 සහ 5 ඉලක්කම්
එක ළඟ යෙදෙන අංක සහිත ආසන කීයක් තිබේ ද?
(1) 11 
(2) 12 
(3) 13",Numbers
"
පෝලිමක සුනිල් සහ නිමල් අතර පස්දෙනෙක් ද නිමල් සහ කමල් අතර අටදෙනෙක් ද සිටිති. 
සුනිල් සහ කමල් අතර සිටිය හැකි ළමයින්  සංඛ්‍යාවක් නොවන්නේ,
(1) 2 ය. 
(2) 13 ය. 
(3) 14 ය.",Addition
"ළමයින් සමූහයක් තිදෙනා බැගින් කණ්ඩායම් වූ විට එක් අයකු ද හතරදෙනා බැගින් කණ්ඩායම් වූ විට
දෙදෙනතු දපස්දෙනා බැගින්කණ්ඩායම් වූ විට හතරදෙනකු ද ඉතුරු විය. මෙම සමූහය සමන්විත විය
හැක්කේ ළමයින් කී දෙනකුගෙන් ද?
(1) 54 
(2) 64 
(3) 94",Division
"ආච්චි සීයටයි දුවලා 4 දෙනෙක් සිටිති. ඒ හතරදෙනාම විවාහ වී ඇත. එම පවුල් හතරෙහිම දරුවෝ
හතරදෙනා බැගින් සිටිති. ඔවුහු සියල්ලෝම ජීවතුන් අතර සිටිති. එසේ නම් මෙම කණ්ඩායමේ කී දෙනෙක්
සිටිත් ද?
(1) 21 
(2) 22 
(3) 26 ",Multiplication
" පසුම්බියක මුදල් නෝට්ටු 8 ක් ඇත. ඒවා රුපියල් 20, රුපියල් 50 හා රුපියල් 100 වටිනාකම්වලට 
අයත් වේ. රුපියල් 50 හා රුපියල් 100 නෝට්ටු ගණන සමාන වේ. පසුම්බියේ තිබිය හැකි වැඩ්මම මුදල 
කීය ද?
(1) රු. 270 
(2) රු. 490 
(3) රු. 600",Currency
"එක්තරා නගරයක පාසල පිහිටා ඇත්තේ ක්‍රීඩාංගනයට උතුරිනි. ක්‍රීඩාංගනයට දකුණු දිශාවෙන් පුස්තකාලය පිහිටා ඇත. එසේ නම්,
(1) පුස්තකාලයට දකුණු දිශාවෙන් පාසල පිහිටා ඇත.
(2) පාසල හා ක්‍රීඩාංගනය අතර පුස්තකාලය පිහිටා ඇත.
(3) පාසලට දකුණු දිශාවෙන් පුස්තකාලය පිහිටා ඇත.",Directions
"ඔරලෝසු මුහුණතේ කැබලි තුනකට කැඩිණි. ඉන් එක් කැබැල්ලක 8, 9, 10, 11, 12 දක්නට ලැබිණි. 
තවත් කැබැල්ලක තිබූ ඉලක්කම්වල එකතුව 12 කි. ඉතිරි කැබැල්ලේ ඇති ඉලක්කම්වල එකතුව කීය ද?
(1) 12 
(2) 14 
(3) 16",Addition
"සමන් පිරිමි ළමයෙකි. ඔහුට සිටින සහෝදරයින් ගණනත් සහෝදරියන් ගණනත් සමාන ය. 
සමන්ගේ නංගී වන ගීතාට සිටින සහෝදරයින් ගණන, ඇයට සිටින සහෝදරියන් ගණනට,
(1) වඩා වැඩි ය. 
(2) වඩා අඩු ය. 
(3) සමාන ය.",Numbers
"පන්ති කාමරයක සිටි ගැහැනු ළමයින් සංඛ්‍යාව, එහි සිටි පිරිමි ළමයින් සංඛ්‍යාව මෙන් දෙගුණයකි. 
එම පන්ති කාමරයේ සිටි ගැහැනු ළමයින් සංඛ්‍යාවෙන් පිරිමි ළමයින් සංඛ්‍යාවක් එකතුවුව විය හැක්කේ,
(1) 25 කි. 
(2) 26 කි. 
(3) 27 කි.",Multiplication
"සත්ත්වාරයක් චාං... චාං... චාං... ලෙස ඒකාකාරව දිගට ම නාද වේ. සත්ත්වා හඬ එකදිගට තුන්වරක් නාදවන හඬ ඇසීමට ගතවන අඩුම කාලය තත්පර 6 කි. 
එසේ එකදිගට හත්වරක් නාදවන හඬ ඇසීමට ගතවන අඩුම කාලය කොපමණ ද?
(1) තත්පර 14 
(2) තත්පර 18 
(3) තත්පර 21",Time
"අඹ ගසක කුරුල්ලෝ හතර දෙනෙක් ද පේර ගසක කුරුල්ලෝ දෙදෙනෙක් ද සිටිති. අඹ ගසේ 
සිටි කුරුල්ලෝ දෙදෙනෙක් පේර ගසට ඉගිල ගිය අතර පේර ගසේ සිටි එක් කුරුල්ලෙක් අඹ ගසට ඉගිල ආවේ ය. 
දැන් අඹ ගසේ සිටින කුරුල්ලන් ගණන පේර ගසේ සිටින කුරුල්ලන් ගණනට
(1) සමාන ය. 
(2) වඩා අඩු ය. 
(3) වඩා වැඩි ය.",Addition
"තරගයක් ජයග්‍රහණය කළ කණ්ඩායමක සිටි සාමාජිකයින් ගණන 5 කි. විනිශ්චයකරුවකු ඔවුන් සියලුදෙනාට ම අතට අත දුන්නේ ය. 
ඔවුහු සියලුදෙනා ද එකිනෙකාට අතට අත දී සතුටු වූහ. මෙහිදී සිදු වූ අතට අත දීම් වාර ගණන කීය ද?
(1) 9 
(2) 10 
(3) 15",Multiplication
"වෙළෙන්දෙක් පෑන්සල් තුනක් රුපියල් පහත බැගින් මිලදී ගෙන පෑන්සල් දෙකක් රුපියල් පහත බැගින් විකුණුවේ ය. 
එක් දිනක් ඔහු පෑන්සල් විකිණීමෙන් රුපියල් 500 ක ලාභයක් ලැබී තිබිණි නම් එදින, ඔහු විකුණූ පෑන්සල් ගණන කීය ද?
(1) 25 
(2) 50 
(3) 60",Currency
"රතු, නිල් හා කොළ පාටින් යුතු පෑන්සල් තුනක දිග පිළිබඳ ප්‍රකාශ දෙකක් පහත දැක්වේ.
රතු පෑන්සලේ දිග නිල් පෑන්සලේ දිග මෙන් දෙගුණයකට වඩා වැඩි ය.
කොළ පෑන්සලේ දිග නිල් පෑන්සලේ දිග මෙන් දෙගුණයකට වඩා කොළ පෑන්සලේ දිග රතු පෑන්සලේ දිග මෙන් තුන් ගුණයකට වැඩි ය.
ඒ අනුව, දිග අඩුම පෑන්සලේ සිට දිග වැඩිම පෑන්සල දක්වා පෑන්සල් තුන පිළිවෙලින් දැක්වෙන්නේ කුමක් ද?
(1) නිල්, රතු, කොළ 
(2) රතු, නිල්, කොළ 
(3) නිල්, කොළ, රතු
",Length measuring 
හය දහස් තිස් හත' සංඛ්‍යාව ඉලක්කමෙන් ලියන්න.,Numbers
" පහත සංඛ්‍යාව ස්ථානීය අගය අනුව විහිදුවා ලියන්න.
8415=__________+__________+__________+__________",Numbers
"සංඛ්‍යා රටාවේ හිස්තැන්වලට ආ යුතු සංඛ්‍යා ලියන්න.

______,______,11,14,17,20",Number patterns
"107, 5න් ගුණ කළ විට ලැබෙන පිළිතුර කුමක් ද?",Multiplication
නානකාමරයට අල්ලන උපකරණ ජල ප්‍රමාණය ලීටර් 2 කි. එහි මිලිලීටර් 750 ක ජල ප්‍රමාණයක් ඇති අතර එය සම්පූර්ණයෙන් පිරවීමට තව කොපමණ ජල ප්‍රමාණයක් අවශ්‍ය ද? :,Volume measuring
රුපියල් 125 ක අත්පොතක් සහ රුපියල් 80 ක කොමඩි පොතක් මිල දී ගෙන රුපියල් 500 ක නෝට්ටුවකින් මුදල් ගෙවූ විට ලැබෙන ඉතුරු මුදල කීය ද? ,Currency
මීටර් 5 ක් දිග රෙද්දකින් ඇඳුමක් මැසීම සඳහා මීටර් 2 ක් සහ සෙන්ටිමීටර් 25 ක ප්‍රමාණයක් කපා ඉවත් කළේ නම් ඉතුරු රෙදි ප්‍රමාණය කොපමණ ද? ,Length measuring 
"තරාදියක එක් තැටියකට අන්නාසි ගෙඩියක් සහ 50g ක බරක් දමා එහි බරට සමාන වීමට 1kg බරක් සහ 500g බරක් අනෙක් තැටියට දමන ලදී. 
අන්නාසි ගෙඩියේ බර කොපමණ ද? ",Weight measuring
"කඩයක අඹ ගෙඩි 60ක් තිබුණි. උදෑසන අඹ ගෙඩි 15ක් විකුණුනි. පසුව තවත් අඹ ගෙඩි 20ක් කඩයට ගෙන එන ලදී. දැන් කඩයේ අඹ ගෙඩි කීයක් තිබේද?
",Addition
"පොත් සාප්පුවක පොත් 150ක් තිබුණි. එක් දිනකදී පොත් 35ක් විකුණු අතර, අලුතින් පොත් 50ක් සාප්පුවට ලැබුණි. දවස අවසානයේ සාප්පුවේ පොත් කීයක් ඉතිරිව තිබේද?",Addition
"පන්තියක සිසුන් 42 දෙනෙක් සිටියහ. පළමු කාල පරිච්ඡේදයෙන් පසු සිසුන් 5 දෙනෙකු පන්තියෙන් පිටව ගිය අතර, වෙනත් පන්තියක සිට සිසුන් 3 දෙනෙකු මෙම පන්තියට පැමිණියහ. දැන් පන්තියේ සිසුන් කී දෙනෙක් සිටීද?",Addition
කමල්ගේ මුදල් පසුම්බියේ රුපියල් 850ක් තිබුණි. ඔහු රුපියල් 220ක් වියදම් කර කෑම ගත්තේය. පසුව ඔහුගේ මිතුරෙකු ඔහුට රුපියල් 150ක ණයක් ආපසු දුන්නේය. දැන් කමල්ගේ මුදල් පසුම්බියේ කොපමණ මුදලක් තිබේද?,Addition
"විදුලි රැහැනක කුරුල්ලන් 28 දෙනෙකු වසා සිටියහ. එයින් කුරුල්ලන් 9 දෙනෙකු ඉගිලී ගිය අතර, තවත් කුරුල්ලන් 14 දෙනෙකු අලුතින් පැමිණ රැහැන මත වසා ගත්හ. දැන් විදුලි රැහැන මත කුරුල්ලන් කී දෙනෙකු සිටීද?",Addition
බිස්කට් ටින් එකක බිස්කට් 50ක් තිබුණි. ළමයි එයින් බිස්කට් 18ක් කෑවෝය. පසුව අම්මා තවත් බිස්කට් 12ක් එම ටින් එකට දැමුවාය. දැන් ටින් එකේ බිස්කට් කීයක් තිබේද?,Addition
මල් වත්තක රෝස පඳුරු 35ක් තිබුණි. තද සුළඟ නිසා පඳුරු 6ක් විනාශ විය. පසුව උයන්පල්ලා තවත් අලුත් රෝස පඳුරු 10ක් සිටෙව්වේය. දැන් වත්තේ රෝස පඳුරු කීයක් තිබේද?,Addition
සෙල්ලම් පෙට්ටියක බෝල 45ක් තිබුණි. ළමයි සෙල්ලම් කරන විට බෝල 7ක් නැති විය. පසුව තාත්තා තවත් අලුත් බෝල 11ක් ගෙනැවිත් පෙට්ටියට දැමුවේය. දැන් පෙට්ටියේ බෝල කීයක් තිබේද?,Addition
වතුර ටැංකියක වතුර ලීටර් 300ක් තිබුණි. ගෙදර වැඩ සඳහා වතුර ලීටර් 80ක් පාවිච්චි කරන ලදී. පසුව වැස්ස නිසා ටැංකියට තවත් වතුර ලීටර් 50ක් එකතු විය. දැන් ටැංකියේ වතුර ලීටර් කීයක් තිබේද?,Addition
"කාර්යාලයක වාහන නැවතුම්පොළේ උදෑසන වාහන 75ක් නවත්වා තිබුණි. දවල් වන විට වාහන 22ක් පිටව ගිය අතර, අලුතින් වාහන 18ක් පැමිණ නතර කරන ලදී. දවල් වන විට වාහන නැවතුම්පොළේ වාහන කීයක් නවත්වා තිබේද?",Addition
"120, 6 න් බෙදූ විට පිළිතුර කුමක් ද?",Division
"255, 5 න් බෙදූ විට පිළිතුර කුමක් ද?",Division
"144, 12 න් බෙදූ විට පිළිතුර කුමක් ද?
",Division
"මිතුරන් 4 දෙනෙකු එකට අවන්හලකට ගොස් රුපියල් 840ක බිලක් ගෙවීමට එකඟ විය. ඔවුන් බිල සමානව බෙදා ගන්නේ නම්, එක් අයෙකුට ගෙවීමට සිදුවන මුදල කීයද?",Division
අම්මා ගෙනා ටොෆි පැකට්ටුවේ ටොෆි 60ක් තිබුණා. ඇය එය දරුවන් 5 දෙනෙකු අත,Division
ගොවියෙක් බීජ පැළ 120ක් පේළි 10ක සමාන පරතරයකින් සිටුවීමට තීරණය කළේය. එක් පේළියක පැළ කීයක් සිටුවිය යුතුද?,Division
දින 7ක් සඳහා දිනකට එකම වාර ගණනක් ගැනීමට බෙහෙත් පෙති 21ක් වෛද්‍යවරයා නියම කළේය. දිනකට පෙති කීයක් ගත යුතුද?,Division
" සාමාන්‍ය පැය 12 ඔරලෝසුවේ ප.ව. 8:15 ලෙස පෙන්වන වේලාව, පැය 24 ඔරලෝසුවේ වේලාවෙන් කෙසේ දැක්වේ ද?",Time
දුම්රියක් පෙ.ව. 9:40 ට කොළඹින් පිටත් වී ප.ව. 1:15 ට ගාල්ලට ළඟා විය. මෙම ගමන සඳහා ගත වූ මුළු කාලය (පැය හා මිනිත්තු වලින්) කොපමණ ද?,Time
"විශේෂ චිත්‍රපට දර්ශනයක් ප.ව. 6:30 ට ආරම්භ විය. චිත්‍රපටය පැය 2 යි මිනිත්තු 50 ක් දිග නම්, එය අවසන් වන විට වේලාව කීය ද?",Time
"රැකියාවක් සඳහා වූ සම්මුඛ පරීක්ෂණයක් පෙ.ව. 11:05 ට අවසන් වූ අතර, එය මිනිත්තු 45 ක් පුරා පැවැත්විණි. සම්මුඛ පරීක්ෂණය ආරම්භ වූයේ කුමන වේලාවට ද?",Time
"මාරවිල සිට හලාවත දක්වා බස් රථයක් සෑම මිනිත්තු 30 කට වරක් පිටත් වේ. එක් බස් රථයක් පෙ.ව. 10:15 ට පිටත් වූයේ නම්, ඊළඟට පිටත්වන බස් රථ තුනේ වේලාවන් මොනවාද?",Time
"ශිෂ්‍යයෙකු පැය 1 යි මිනිත්තු 30 ක් රචනාවක් ලියා, මිනිත්තු 25 ක විවේකයක් ගෙන, තවත් මිනිත්තු 55 ක් එම රචනාව සංස්කරණය කළේය. ඔහු මේ සඳහා ගත කළ මුළු කාලය කොපමණ ද?",Time
"එක් බාල්දියක තීන්ත ලීටර් 3 මිලිලීටර් 400 ක් ද, තවත් බාල්දියක තීන්ත ලීටර් 2 මිලිලීටර් 750 ක් ද ඇත. බාල්දි දෙකේ ඇති මුළු තීන්ත ප්‍රමාණය ලීටර් සහ මිලිලීටර් වලින් කොපමණ ද?",Volume measuring
මෝටර් රථයක ඉන්ධන ටැංකියේ පෙට්‍රල් ලීටර් 45 ක් තිබුණි. ගමනක් ගොස් අවසානයේ බලන විට එහි ඉතිරිව තිබුණේ ලීටර් 12 මිලිලීටර් 500 කි. ගමන සඳහා කොපමණ පෙට්‍රල් ප්‍රමාණයක් වැය වී තිබේද?,Volume measuring
බෝතලයක ධාරිතාව ලීටර් 1 මිලිලීටර් 500 කි. ජෝගුවක ධාරිතාව මිලිලීටර් 1800 කි. වැඩි ධාරිතාවක් ඇත්තේ කුමන බඳුනටද? කොපමණකින් ද?,Volume measuring
බෙහෙත් දියර බෝතලයක මිලිලීටර් 150 ක් ඇත. එවැනි බෝතල් 8 ක ඇති මුළු බෙහෙත් දියර ප්‍රමාණය ලීටර් සහ මිලිලීටර් වලින් කොපමණ ද?,Volume measuring
"පලතුරු යුෂ ලීටර් 6 ක් වීදුරු 8 කට සමානව බෙදුවහොත්, එක් වීදුරුවක ඇති පලතුරු යුෂ ප්‍රමාණය මිලිලීටර් වලින් කීය ද?",Volume measuring
"ලීටර් 5 ක බඳුනක් සම්පූර්ණයෙන් පිරවීම සඳහා, ලීටර් 1 මිලිලීටර් 200 ක් දැනටමත් දමා ඇත. ඉතිරි කොටස පිරවීමට මිලිලීටර් 800 ක කෝප්පයකින් කී වරක් වතුර දැමිය යුතු ද?",Volume measuring
"මවක් කඩෙන් සීනි 1 kg 500 g ක්, පරිප්පු 750 g ක් සහ හාල් 3 kg 250 g ක් මිලදී ගත්තාය. ඇය මිලදී ගත් භාණ්ඩවල මුළු බර කොපමණ ද?",Weight measuring
"එක් ගමන් මල්ලක බර 18 kg 400 g වන අතර, තවත් ගමන් මල්ලක බර 21 kg 150 g වේ. දෙවන ගමන් මල්ල පළමු ගමන් මල්ලට වඩා කොපමණ බර වැඩි ද?",Weight measuring
එකම ප්‍රමාණයේ පොල් ගෙඩි 6 ක මුළු බර 7 kg 500 g කි. එක් පොල් ගෙඩියක සාමාන්‍ය බර කොපමණ ද?,Weight measuring
එක් පෙට්ටියක බර 2 kg 100 g කි. එවැනි පෙට්ටි 5 ක මුළු බර කොපමණ ද?,Weight measuring
"තරාදියක එක් තැටියක මාළු කැබැල්ලක් තබා ඇත. අනෙක් තැටියට 1 kg බර කට්ටියක් සහ 200 g බර කට්ටියක් තැබූ විට තරාදිය සමබර වේ. 
මාළු කැබැල්ල සමග පළමු තැටියට 50 g බරක් තැබුවහොත්, තරාදිය සමබර කිරීමට අනෙක් තැටියට තව ග්‍රෑම් කීයක් එක් කළ යුතු ද?",Weight measuring
සිමෙන්ති මල්ලක බර 50 kg කි. එයින් බිත්ති බැඳීමට 35 kg 800 g ක් යොදා ගන්නා ලදී. මල්ලේ ඉතිරිව ඇති සිමෙන්ති ප්‍රමාණය කොපමණ ද?,Weight measuring
"කහ, සුදු, කළු ලෙස නම්කළ ලී දඬු තුනක් ඇත. කහ දණ්ඩේ දිග සුදු දණ්ඩේ දිග මෙන් දෙගුණයකි. කළු දණ්ඩේ දිග කහ දණ්ඩේ දිගට වඩා අඩුය, නමුත් සුදු දණ්ඩේ දිගට වඩා වැඩිය. දිග අඩුම දණ්ඩේ සිට දිග වැඩිම දණ්ඩ දක්වා දඬු තුන පිළිවෙලින් දක්වන්න.",Length measuring 
විදුලි කාර්මිකයෙකු මීටර් 4 සෙන්ටිමීටර 80 ක් දිග කම්බි කැබැල්ලක් සහ මීටර් 5 සෙන්ටිමීටර 35 ක් දිග තවත් කම්බි කැබැල්ලක් එකට සම්බන්ධ කළේය. සෑදුණු මුළු කම්බියේ දිග කොපමණ ද? ,Length measuring 
"මීටර් 10 ක් දිග ලණුවකින් පළමුව මීටර් 3 සෙන්ටිමීටර 50 ක් ද, දෙවනුව මීටර් 2 සෙන්ටිමීටර 75 ක් ද කපා ඉවත් කරන ලදී. දැන් ලණුවේ ඉතිරිව ඇති කොටසේ දිග කොපමණ ද? ",Length measuring 
නිශාන්ගේ නිවසේ සිට පාසලට ඇති දුර කිලෝමීටර 2 යි මීටර් 300 කි. පාසලේ සිට ක්‍රීඩා පිටියට ඇති දුර මීටර් 950 කි. නිවසේ සිට ක්‍රීඩා පිටියට පාසල හරහා ඇති මුළු දුර කිලෝමීටර් සහ මීටර් වලින් කොපමණ ද?,Length measuring 
